|6.6.6
fa_1373-2273-10
           2
 T(K)
   1373.15000000000
   10.0000000000000
          91
 P(bar)
   1.00000000000000
   1.00000000000000
           1
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv
  2053.150       1.000000      -2015166.      -1000779.       51.26758       494.0635       216.3337       4.939077      0.2165706E-03  0.5363082E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2063.150       1.000000      -2020111.      -998614.6       51.14430       495.1151       216.5598       4.941247      0.2171467E-03  0.5377200E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2073.150       1.000000      -2025068.      -996447.9       51.02248       496.1628       216.7854       4.943423      0.2177258E-03  0.5391392E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2083.150       1.000000      -2030035.      -994278.9       50.90209       497.2065       217.0106       4.945604      0.2183078E-03  0.5405659E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2093.150       1.000000      -2035012.      -992107.7       50.78312       498.2463       217.2354       4.947791      0.2188928E-03  0.5420000E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2103.150       1.000000      -2040000.      -989934.2       50.66553       499.2822       217.4598       4.949984      0.2194808E-03  0.5434416E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2113.150       1.000000      -2044998.      -987758.5       50.54931       500.3143       217.6838       4.952183      0.2200718E-03  0.5448909E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2123.150       1.000000      -2050006.      -985580.6       50.43444       501.3425       217.9075       4.954388      0.2206658E-03  0.5463478E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2133.150       1.000000      -2055024.      -983400.4       50.32089       502.3669       218.1307       4.956599      0.2212630E-03  0.5478125E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2143.150       1.000000      -2060053.      -981217.9       50.20866       503.3877       218.3536       4.958816      0.2218632E-03  0.5492849E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2153.150       1.000000      -2065092.      -979033.3       50.09771       504.4046       218.5761       4.961039      0.2224665E-03  0.5507652E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2163.150       1.000000      -2070141.      -976846.4       49.98804       505.4180       218.7982       4.963268      0.2230730E-03  0.5522534E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2173.150       1.000000      -2075201.      -974657.3       49.87962       506.4276       219.0200       4.965503      0.2236827E-03  0.5537495E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2183.150       1.000000      -2080270.      -972466.0       49.77243       507.4337       219.2414       4.967744      0.2242956E-03  0.5552537E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  2193.150       1.000000      -2085349.      -970272.5       49.66646       508.4361       219.4625       4.969991      0.2249117E-03  0.5567660E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
