|6.6.6
foL_1373-2273-10
           2
 T(K)
   1373.15000000000
   10.0000000000000
          91
 P(bar)
   1.00000000000000
   1.00000000000000
           1
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv
  1773.150       1.000000      -2434149.      -1692409.       71.70582       418.3176       269.4000       4.938435      0.4542378E-03  0.1658570E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1783.150       1.000000      -2438340.      -1689715.       71.42645       419.8327       269.4000       4.942980      0.4546557E-03  0.1662558E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1793.150       1.000000      -2442546.      -1687021.       71.15064       421.3393       269.4000       4.947530      0.4550741E-03  0.1666560E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1803.150       1.000000      -2446766.      -1684327.       70.87832       422.8375       269.4000       4.952084      0.4554928E-03  0.1670576E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1813.150       1.000000      -2451002.      -1681633.       70.60943       424.3274       269.4000       4.956642      0.4559120E-03  0.1674604E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1823.150       1.000000      -2455253.      -1678939.       70.34392       425.8091       269.4000       4.961204      0.4563315E-03  0.1678646E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1833.150       1.000000      -2459518.      -1676245.       70.08173       427.2828       269.4000       4.965770      0.4567514E-03  0.1682702E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1843.150       1.000000      -2463799.      -1673551.       69.82280       428.7484       269.4000       4.970341      0.4571716E-03  0.1686771E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1853.150       1.000000      -2468093.      -1670857.       69.56708       430.2060       269.4000       4.974916      0.4575923E-03  0.1690854E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
  1863.150       1.000000      -2472403.      -1668163.       69.31451       431.6559       269.4000       4.979495      0.4580134E-03  0.1694951E-04   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
